SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
83	83	18.065474	6.695122	Colonize	83	19.117996	6.756098	Colonize	83	26.826578	6.731707	Colonize	
84	84	18.44071	6.686747	Colonize	84	19.186789	6.7710843	Colonize	84	26.934452	6.746988	Contest	
85	85	18.57101	6.678571	Colonize	85	19.241472	6.785714	Colonize	85	27.331434	6.7380953	Colonize	
86	86	18.746841	6.6941175	Colonize	86	19.428082	6.7764707	Colonize	86	27.71176	6.7294116	Colonize	
87	87	18.844242	6.7093024	Colonize	87	19.570293	6.7674417	Colonize	87	28.051544	6.744186	Colonize	
88	88	18.977655	6.724138	Colonize	88	19.671417	6.781609	Colonize	88	28.3313	6.7586207	Colonize	
89	89	19.090216	6.7386365	Colonize	89	19.752068	6.7954545	Colonize	89	28.597923	6.7727275	Colonize	
90	90	19.171772	6.752809	Colonize	90	19.807266	6.7865167	Colonize	90	28.830832	6.7865167	Colonize	
91	91	19.285774	6.766667	Colonize	91	19.881428	6.8	Colonize	91	29.12982	6.8	Colonize	
92	92	19.691032	6.7582417	Colonize	92	19.950085	6.8131866	Colonize	92	29.32493	6.7912087	Colonize	
93	93	20.0138	6.75	Colonize	93	20.01736	6.826087	Colonize	93	29.653044	6.804348	Colonize	
94	94	20.335302	6.7419353	Colonize	94	20.08735	6.83871	Colonize	94	30.070171	6.795699	Colonize	
95	95	20.659386	6.7765956	Colonize	95	20.31665	6.8297873	Colonize	95	30.311857	6.7659574	Colonize	
96	96	20.975595	6.7894735	Colonize	96	20.495102	6.8210526	Colonize	96	30.45631	6.7789474	Colonize	
97	97	21.129309	6.78125	Colonize	97	20.56441	6.8125	Colonize	97	30.53209	6.7916665	Contest	
98	98	21.242874	6.7938147	Colonize	98	20.595499	6.8247423	Colonize	98	30.590387	6.804124	Contest	
99	99	21.418848	6.8061223	Colonize	99	20.619114	6.836735	Colonize	99	30.750935	6.8163266	Contest	
100	100	21.605612	6.818182	Colonize	100	20.633198	6.848485	Colonize	100	30.856857	6.828283	Contest	
101	101	22.047508	6.81	Colonize	101	20.756824	6.86	Colonize	101	30.996078	6.84	Contest	
102	102	22.443268	6.80198	Colonize	102	20.83209	6.8712873	Colonize	102	31.158659	6.8514853	Contest	
103	103	22.832884	6.7941175	Colonize	103	20.909676	6.882353	Colonize	103	31.359838	6.8627453	Contest	
104	104	23.118948	6.8252425	Colonize	104	21.20328	6.8737864	Colonize	104	31.6286	6.8737864	Contest	
105	105	23.400965	6.8365383	Colonize	105	21.361216	6.8461537	Colonize	105	32.047012	6.8653846	Colonize	
106	106	23.609861	6.8285713	Colonize	106	21.432978	6.857143	Colonize	106	32.415897	6.838095	Colonize	
107	107	23.756372	6.8396225	Colonize	107	21.504293	6.8679247	Colonize	107	32.54681	6.8490567	Colonize	
108	108	23.899603	6.850467	Colonize	108	21.588871	6.8785048	Colonize	108	32.655766	6.859813	Contest	
109	109	24.158518	6.861111	Colonize	109	21.837227	6.888889	Colonize	109	33.150917	6.8703704	Colonize	
110	110	24.730175	6.853211	Colonize	110	22.028238	6.8623853	Colonize	110	33.486984	6.8440366	Colonize	
