SIMULATION PARAMETERS:
n = 450
m = 800
k = 1
p = 50
recruit_likeliness = 1.0E-4
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.16666667

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	NATION 10 SIZE	NATION 10 RESOURCES	NATION 11 SIZE	NATION 11 RESOURCES	NATION 12 SIZE	NATION 12 RESOURCES	NATION 13 SIZE	NATION 13 RESOURCES	NATION 14 SIZE	NATION 14 RESOURCES	NATION 15 SIZE	NATION 15 RESOURCES	NATION 16 SIZE	NATION 16 RESOURCES	NATION 17 SIZE	NATION 17 RESOURCES	NATION 18 SIZE	NATION 18 RESOURCES	NATION 19 SIZE	NATION 19 RESOURCES	NATION 20 SIZE	NATION 20 RESOURCES	NATION 21 SIZE	NATION 21 RESOURCES	NATION 22 SIZE	NATION 22 RESOURCES	NATION 23 SIZE	NATION 23 RESOURCES	NATION 24 SIZE	NATION 24 RESOURCES	NATION 25 SIZE	NATION 25 RESOURCES	NATION 26 SIZE	NATION 26 RESOURCES	NATION 27 SIZE	NATION 27 RESOURCES	NATION 28 SIZE	NATION 28 RESOURCES	NATION 29 SIZE	NATION 29 RESOURCES	NATION 30 SIZE	NATION 30 RESOURCES	NATION 31 SIZE	NATION 31 RESOURCES	NATION 32 SIZE	NATION 32 RESOURCES	NATION 33 SIZE	NATION 33 RESOURCES	NATION 34 SIZE	NATION 34 RESOURCES	NATION 35 SIZE	NATION 35 RESOURCES	NATION 36 SIZE	NATION 36 RESOURCES	NATION 37 SIZE	NATION 37 RESOURCES	NATION 38 SIZE	NATION 38 RESOURCES	NATION 39 SIZE	NATION 39 RESOURCES	NATION 40 SIZE	NATION 40 RESOURCES	NATION 41 SIZE	NATION 41 RESOURCES	NATION 42 SIZE	NATION 42 RESOURCES	NATION 43 SIZE	NATION 43 RESOURCES	NATION 44 SIZE	NATION 44 RESOURCES	NATION 45 SIZE	NATION 45 RESOURCES	NATION 46 SIZE	NATION 46 RESOURCES	NATION 47 SIZE	NATION 47 RESOURCES	NATION 48 SIZE	NATION 48 RESOURCES	NATION 49 SIZE	NATION 49 RESOURCES	
436	281362.0	60288.7	8688.0	2493.3655	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6176.0	1797.1715	3.0	1.2735535	286.0	87.07496	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.9230888	1.0	1.0	1.0	1.0	12121.0	3722.2764	1.0	1.0	1.0	1.0	3.0	1.4343746	2416.0	784.09686	1.0	1.0	2477.0	758.78986	1.0	1.0	1.0	1.0	1.0	1.0	6903.0	2103.6536	2.0	1.1588268	28084.0	8234.225	5.0	1.6483884	6647.0	1965.9774	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	4770.0	1379.6346	1.0	1.0	1.0	1.0	1.0	1.0	
437	280942.0	60168.055	8773.0	2517.971	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6206.0	1805.0267	3.0	1.2735535	275.0	83.97151	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	2.17233	1.0	1.0	1.0	1.0	12191.0	3744.3723	1.0	1.0	1.0	1.0	3.0	1.4343746	2432.0	789.87976	1.0	1.0	2482.0	760.39056	1.0	1.0	1.0	1.0	1.0	1.0	6909.0	2103.5986	2.0	1.1588268	28216.0	8270.918	5.0	1.6483884	6678.0	1973.0352	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	4825.0	1397.486	1.0	1.0	1.0	1.0	1.0	1.0	
438	280507.0	60041.168	8857.0	2541.3857	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6240.0	1814.506	3.0	1.2735535	267.0	80.9265	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	2.5774713	1.0	1.0	1.0	1.0	12274.0	3772.3108	1.0	1.0	1.0	1.0	3.0	1.4343746	2445.0	794.20703	1.0	1.0	2476.0	758.5546	1.0	1.0	1.0	1.0	1.0	1.0	6915.0	2102.5215	2.0	1.1588268	28360.0	8312.863	5.0	1.6483884	6706.0	1978.6957	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	4881.0	1417.1595	1.0	1.0	1.0	1.0	1.0	1.0	
439	280078.0	59917.145	8958.0	2571.002	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6276.0	1824.4663	3.0	1.2735535	249.0	75.85142	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	2.5774713	1.0	1.0	1.0	1.0	12346.0	3793.4763	1.0	1.0	1.0	1.0	3.0	1.4343746	2459.0	799.2989	1.0	1.0	2478.0	759.1099	1.0	1.0	1.0	1.0	1.0	1.0	6923.0	2102.4119	2.0	1.1588268	28500.0	8353.535	5.0	1.6483884	6727.0	1983.6431	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	4934.0	1434.3743	1.0	1.0	1.0	1.0	1.0	1.0	
440	279628.0	59781.78	9063.0	2602.408	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6319.0	1836.4495	3.0	1.2735535	224.0	67.70433	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	3.0470388	1.0	1.0	1.0	1.0	12431.0	3818.986	1.0	1.0	1.0	1.0	3.0	1.4343746	2474.0	804.6608	1.0	1.0	2480.0	760.9339	1.0	1.0	1.0	1.0	1.0	1.0	6926.0	2102.053	2.0	1.1588268	28635.0	8393.527	5.0	1.6483884	6746.0	1988.0361	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5001.0	1457.3202	1.0	1.0	1.0	1.0	1.0	1.0	
441	279167.0	59643.973	9163.0	2630.9097	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6363.0	1848.736	3.0	1.2735535	198.0	60.647636	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	3.8851686	1.0	1.0	1.0	1.0	12509.0	3843.719	1.0	1.0	1.0	1.0	3.0	1.4343746	2493.0	811.53827	1.0	1.0	2484.0	763.44763	1.0	1.0	1.0	1.0	1.0	1.0	6926.0	2098.794	2.0	1.1588268	28796.0	8443.017	5.0	1.6483884	6768.0	1993.2136	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5058.0	1475.0105	1.0	1.0	1.0	1.0	1.0	1.0	
442	278711.0	59512.703	9244.0	2654.2112	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6410.0	1860.7954	3.0	1.2735535	188.0	57.97583	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14.0	5.62539	1.0	1.0	1.0	1.0	12583.0	3866.606	1.0	1.0	1.0	1.0	3.0	1.4343746	2513.0	818.0191	1.0	1.0	2484.0	763.74603	1.0	1.0	1.0	1.0	1.0	1.0	6935.0	2099.9487	2.0	1.1588268	28943.0	8483.17	5.0	1.6483884	6796.0	1999.6733	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5114.0	1494.405	1.0	1.0	1.0	1.0	1.0	1.0	
443	278219.0	59371.15	9338.0	2679.1824	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6456.0	1873.988	3.0	1.2735535	168.0	52.457207	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	16.0	6.1898136	1.0	1.0	1.0	1.0	12675.0	3895.745	1.0	1.0	1.0	1.0	3.0	1.4343746	2530.0	824.22003	1.0	1.0	2489.0	767.34814	1.0	1.0	1.0	1.0	1.0	1.0	6938.0	2099.5713	2.0	1.1588268	29093.0	8523.478	5.0	1.6483884	6829.0	2008.1304	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5184.0	1515.457	1.0	1.0	1.0	1.0	1.0	1.0	
444	277784.0	59244.598	9430.0	2705.537	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6502.0	1886.7529	3.0	1.2735535	153.0	49.102455	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	7.0932302	1.0	1.0	1.0	1.0	12748.0	3918.1409	1.0	1.0	1.0	1.0	3.0	1.4343746	2547.0	829.89575	1.0	1.0	2496.0	769.82635	1.0	1.0	1.0	1.0	1.0	1.0	6941.0	2098.8667	2.0	1.1588268	29220.0	8559.234	5.0	1.6483884	6861.0	2017.5435	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5234.0	1530.3153	1.0	1.0	1.0	1.0	1.0	1.0	
445	277339.0	59112.73	9517.0	2729.5474	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6547.0	1898.8304	3.0	1.2735535	137.0	44.81206	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	7.0932302	1.0	1.0	1.0	1.0	12830.0	3944.0137	1.0	1.0	1.0	1.0	3.0	1.4343746	2558.0	833.673	1.0	1.0	2499.0	771.3512	1.0	1.0	1.0	1.0	1.0	1.0	6953.0	2102.062	2.0	1.1588268	29348.0	8596.661	5.0	1.6483884	6896.0	2028.2015	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5292.0	1547.94	1.0	1.0	1.0	1.0	1.0	1.0	
446	276886.0	58978.113	9601.0	2755.17	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6598.0	1913.196	3.0	1.2735535	116.0	37.90866	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	7.0932302	1.0	1.0	1.0	1.0	12903.0	3966.626	1.0	1.0	1.0	1.0	3.0	1.4343746	2579.0	840.87756	1.0	1.0	2516.0	777.69135	1.0	1.0	1.0	1.0	1.0	1.0	6961.0	2104.5989	2.0	1.1588268	29481.0	8634.342	5.0	1.6483884	6923.0	2035.7798	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5352.0	1565.4681	1.0	1.0	1.0	1.0	1.0	1.0	
447	276438.0	58840.863	9684.0	2780.4382	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6648.0	1926.6658	3.0	1.2735535	96.0	31.273516	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	7.0932302	1.0	1.0	1.0	1.0	12975.0	3990.4333	1.0	1.0	1.0	1.0	3.0	1.4343746	2600.0	847.8866	1.0	1.0	2527.0	782.16345	1.0	1.0	1.0	1.0	1.0	1.0	6974.0	2108.5996	2.0	1.1588268	29608.0	8671.778	5.0	1.6483884	6950.0	2043.3927	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5416.0	1586.2617	1.0	1.0	1.0	1.0	1.0	1.0	
448	275976.0	58699.617	9765.0	2806.1362	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6701.0	1942.1285	3.0	1.2735535	79.0	25.511602	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	7.0932302	1.0	1.0	1.0	1.0	13048.0	4012.8965	1.0	1.0	1.0	1.0	3.0	1.4343746	2618.0	853.2924	1.0	1.0	2532.0	783.4072	1.0	1.0	1.0	1.0	1.0	1.0	7004.0	2119.1	2.0	1.1588268	29725.0	8707.497	5.0	1.6483884	6989.0	2054.4207	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5479.0	1605.8217	1.0	1.0	1.0	1.0	1.0	1.0	
449	275496.0	58556.832	9856.0	2833.588	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6752.0	1955.7683	3.0	1.2735535	64.0	19.8574	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	7.0932302	1.0	1.0	1.0	1.0	13122.0	4035.0256	1.0	1.0	1.0	1.0	4.0	1.7828729	2638.0	860.132	1.0	1.0	2542.0	787.2039	1.0	1.0	1.0	1.0	1.0	1.0	7028.0	2126.7095	2.0	1.1588268	29847.0	8744.636	5.0	1.6483884	7036.0	2066.4136	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5534.0	1623.3234	1.0	1.0	1.0	1.0	1.0	1.0	
450	275007.0	58413.06	9949.0	2861.8157	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0519055	1.0	1.0	6805.0	1969.4464	3.0	1.2735535	48.0	13.691551	15.0	2.4178965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0	7.0932302	1.0	1.0	1.0	1.0	13206.0	4060.3237	1.0	1.0	1.0	1.0	6.0	2.524209	2656.0	865.4042	1.0	1.0	2551.0	789.3174	1.0	1.0	1.0	1.0	1.0	1.0	7059.0	2137.2004	2.0	1.1588268	29968.0	8779.723	5.0	1.6483884	7084.0	2080.1768	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.6956309	1.0	1.0	5580.0	1638.5878	1.0	1.0	1.0	1.0	1.0	1.0	
