SIMULATION PARAMETERS:
n = 225
m = 400
k = 1
p = 5
recruit_likeliness = 0.01
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.033333335

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
162	75866.0	16419.672	1569.0	380.01337	2898.0	727.45276	2792.0	499.5786	2995.0	848.44086	3880.0	941.886	
163	75513.0	16337.385	1604.0	389.70706	2961.0	741.9038	2843.0	506.66846	3117.0	885.8503	3962.0	955.5215	
164	75129.0	16249.299	1636.0	399.30304	3032.0	757.9587	2910.0	515.9038	3244.0	924.1201	4049.0	970.44354	
165	74733.0	16163.287	1672.0	409.60654	3116.0	775.4581	2985.0	526.2539	3370.0	958.6205	4124.0	983.8064	
166	74387.0	16084.888	1694.0	416.04022	3179.0	790.5647	3044.0	534.5453	3503.0	995.10864	4193.0	995.8754	
167	74054.0	16014.538	1715.0	422.03793	3247.0	804.7178	3107.0	543.7511	3612.0	1023.9047	4265.0	1008.0826	
168	73692.0	15936.164	1743.0	428.89835	3316.0	819.16693	3176.0	553.40515	3725.0	1055.7013	4348.0	1023.6949	
169	73333.0	15859.554	1757.0	433.31873	3385.0	833.7462	3254.0	563.9375	3843.0	1086.2083	4428.0	1040.2556	
170	72968.0	15779.998	1774.0	438.18045	3452.0	847.8941	3347.0	576.82635	3961.0	1120.2764	4498.0	1053.8427	
171	72584.0	15698.644	1793.0	443.65738	3520.0	861.1156	3432.0	589.8395	4071.0	1150.0323	4600.0	1073.735	
172	72250.0	15629.239	1812.0	448.56924	3601.0	877.17755	3502.0	600.2043	4168.0	1176.4066	4667.0	1085.4244	
173	71890.0	15553.204	1824.0	452.65222	3682.0	894.0325	3578.0	611.6618	4271.0	1202.8068	4755.0	1102.6497	
174	71509.0	15473.596	1837.0	457.52347	3782.0	914.87787	3661.0	624.5872	4381.0	1229.723	4830.0	1116.6998	
175	71158.0	15399.137	1849.0	461.3968	3878.0	935.7136	3734.0	636.09644	4482.0	1253.6609	4899.0	1131.0	
176	70818.0	15328.316	1868.0	467.68582	3982.0	956.2273	3800.0	647.6121	4567.0	1273.0901	4965.0	1144.0642	
177	70454.0	15251.492	1879.0	472.54782	4096.0	980.426	3872.0	659.70044	4657.0	1294.1571	5042.0	1158.6807	
178	70087.0	15172.755	1900.0	479.9224	4200.0	1002.696	3940.0	671.7864	4761.0	1316.6871	5112.0	1173.1664	
179	69696.0	15088.359	1915.0	486.75842	4301.0	1025.6683	4022.0	685.99457	4871.0	1340.4965	5195.0	1189.7297	
180	69274.0	14993.823	1925.0	492.97736	4423.0	1053.2039	4092.0	700.73236	4988.0	1366.2539	5298.0	1210.035	
181	68802.0	14890.558	1935.0	500.0381	4559.0	1086.4254	4182.0	716.5098	5102.0	1389.0261	5420.0	1234.4802	
182	68386.0	14797.226	1951.0	506.45206	4692.0	1118.6729	4264.0	732.3383	5216.0	1412.8928	5491.0	1249.4546	
183	67973.0	14697.25	1982.0	518.9107	4819.0	1150.5164	4342.0	747.3909	5294.0	1430.7113	5590.0	1272.2578	
184	67546.0	14599.531	2003.0	528.4854	4947.0	1182.9979	4410.0	759.5715	5403.0	1453.2336	5691.0	1293.2214	
185	67085.0	14492.608	2021.0	538.6099	5113.0	1223.8792	4479.0	771.8801	5502.0	1472.4663	5800.0	1317.5903	
186	66654.0	14391.643	2044.0	551.1075	5241.0	1255.335	4553.0	785.5296	5596.0	1490.4432	5912.0	1342.9658	
187	66191.0	14283.56	2074.0	564.15027	5385.0	1290.5764	4615.0	794.9973	5699.0	1511.9205	6036.0	1371.8269	
188	65749.0	14179.893	2092.0	574.08856	5528.0	1325.7446	4674.0	806.36755	5800.0	1531.8314	6157.0	1399.1027	
189	65300.0	14075.231	2121.0	585.2202	5673.0	1362.0316	4756.0	822.6491	5882.0	1547.3793	6268.0	1424.5176	
190	64870.0	13977.659	2134.0	594.14594	5790.0	1389.6041	4830.0	837.2066	5988.0	1568.0991	6388.0	1450.3118	
191	64409.0	13874.589	2138.0	600.15247	5931.0	1421.1464	4915.0	854.6841	6096.0	1589.2417	6511.0	1477.2212	
192	63966.0	13773.529	2145.0	607.4046	6055.0	1448.3943	4983.0	867.68933	6207.0	1610.8174	6644.0	1509.207	
193	63564.0	13684.013	2162.0	615.68427	6166.0	1472.6858	5037.0	877.3271	6303.0	1630.8162	6768.0	1536.5166	
194	63149.0	13592.536	2174.0	622.521	6291.0	1498.912	5099.0	889.2451	6405.0	1651.9515	6882.0	1561.8665	
195	62740.0	13500.034	2195.0	631.2316	6402.0	1522.6488	5158.0	900.9333	6513.0	1673.4678	6992.0	1588.7196	
196	62368.0	13414.147	2205.0	636.3741	6507.0	1546.5774	5210.0	910.02576	6616.0	1694.0009	7094.0	1615.9071	
197	62032.0	13334.671	2220.0	642.0602	6597.0	1567.6875	5250.0	918.516	6706.0	1712.2214	7195.0	1641.886	
198	61706.0	13258.031	2231.0	647.45245	6695.0	1591.967	5283.0	926.06464	6802.0	1731.0886	7283.0	1662.444	
199	61372.0	13183.184	2234.0	651.2946	6787.0	1610.8784	5320.0	933.13403	6910.0	1752.325	7377.0	1686.2313	
200	60990.0	13094.901	2238.0	653.92816	6910.0	1639.6002	5367.0	943.8095	7017.0	1772.4897	7478.0	1712.3113	
201	60627.0	13009.335	2250.0	658.79706	7001.0	1660.2263	5422.0	958.4215	7135.0	1793.8073	7565.0	1736.4518	
202	60236.0	12920.92	2261.0	665.03	7110.0	1683.5327	5479.0	971.8978	7257.0	1816.4268	7657.0	1759.2347	
203	59850.0	12835.839	2277.0	672.7128	7231.0	1709.2878	5520.0	982.70496	7364.0	1834.1761	7758.0	1782.3308	
204	59470.0	12750.302	2294.0	680.7558	7348.0	1734.3516	5568.0	994.3593	7467.0	1852.5128	7853.0	1804.7666	
205	59046.0	12652.132	2330.0	692.6158	7461.0	1759.3395	5618.0	1007.1081	7581.0	1872.5508	7964.0	1833.3086	
206	58645.0	12557.545	2359.0	702.8287	7566.0	1783.1846	5661.0	1016.9267	7701.0	1894.7972	8068.0	1861.7869	
207	58248.0	12467.12	2390.0	711.4604	7671.0	1805.9692	5687.0	1023.29205	7822.0	1917.8484	8182.0	1891.3871	
208	57851.0	12378.144	2411.0	718.7502	7770.0	1827.0928	5727.0	1031.7327	7941.0	1939.9636	8300.0	1921.4003	
209	57440.0	12292.013	2427.0	725.3653	7880.0	1851.54	5764.0	1037.1543	8085.0	1965.599	8404.0	1945.4016	
210	57038.0	12202.98	2440.0	731.1702	8002.0	1879.5028	5791.0	1042.9209	8212.0	1987.5948	8517.0	1972.9058	
211	56668.0	12122.294	2449.0	736.2639	8124.0	1907.5402	5818.0	1048.429	8317.0	2004.883	8624.0	1997.6724	
212	56238.0	12024.732	2467.0	742.9327	8248.0	1941.3276	5858.0	1055.797	8452.0	2029.2415	8737.0	2023.0597	
213	55875.0	11939.668	2473.0	748.251	8349.0	1968.2867	5896.0	1064.3578	8569.0	2050.7231	8838.0	2045.7886	
214	55515.0	11861.486	2464.0	747.67664	8454.0	1995.3188	5920.0	1069.6753	8714.0	2076.1572	8933.0	2066.7773	
215	55140.0	11779.591	2458.0	747.61615	8575.0	2026.9501	5946.0	1075.5471	8845.0	2099.8499	9036.0	2087.53	
216	54790.0	11700.712	2457.0	748.5983	8690.0	2058.2747	5979.0	1082.2284	8969.0	2120.899	9115.0	2106.3616	
217	54392.0	11611.903	2456.0	750.5586	8824.0	2091.3765	6001.0	1087.7444	9104.0	2144.9414	9223.0	2130.5586	
218	53977.0	11517.733	2451.0	750.22754	8952.0	2127.8716	6047.0	1096.5627	9254.0	2172.8289	9319.0	2151.8516	
219	53581.0	11427.359	2443.0	749.29083	9081.0	2168.807	6085.0	1101.8088	9387.0	2195.8606	9423.0	2173.9355	
220	53212.0	11343.96	2440.0	750.9927	9220.0	2205.2063	6109.0	1104.4532	9495.0	2215.989	9524.0	2196.4524	
221	52799.0	11244.196	2434.0	751.88104	9377.0	2248.8574	6140.0	1110.164	9619.0	2238.6125	9631.0	2223.338	
222	52385.0	11146.706	2435.0	755.2549	9532.0	2291.7944	6167.0	1115.451	9752.0	2265.9412	9729.0	2241.9124	
223	51991.0	11054.413	2430.0	756.0142	9681.0	2334.3367	6186.0	1117.5775	9884.0	2291.6924	9828.0	2263.0276	
224	51602.0	10965.356	2424.0	754.8754	9844.0	2378.6243	6198.0	1119.5238	10003.0	2315.3225	9929.0	2283.365	
225	51196.0	10871.101	2420.0	755.7153	9994.0	2421.2637	6222.0	1124.4908	10135.0	2340.2036	10033.0	2304.2761	
226	50813.0	10788.843	2411.0	755.23724	10137.0	2456.5706	6246.0	1128.4032	10265.0	2363.305	10128.0	2324.6975	
227	50401.0	10692.793	2406.0	757.50116	10300.0	2500.6443	6254.0	1129.5817	10419.0	2391.5383	10220.0	2345.0007	
228	49980.0	10601.784	2405.0	758.7888	10465.0	2541.1577	6279.0	1133.4236	10553.0	2416.609	10318.0	2365.2957	
229	49557.0	10503.531	2387.0	754.6687	10673.0	2595.55	6287.0	1134.7098	10687.0	2442.6682	10409.0	2385.933	
230	49149.0	10407.643	2380.0	751.7414	10854.0	2642.148	6290.0	1134.0215	10814.0	2470.0186	10513.0	2411.4775	
231	48744.0	10305.303	2371.0	749.79004	11031.0	2694.6843	6286.0	1132.0544	10949.0	2497.6973	10619.0	2437.5325	
232	48334.0	10205.042	2356.0	744.337	11247.0	2754.6711	6297.0	1132.2804	11053.0	2520.6636	10713.0	2460.0586	
233	47926.0	10105.388	2348.0	741.4381	11444.0	2808.2266	6293.0	1130.5216	11164.0	2545.9126	10825.0	2485.5664	
234	47530.0	10008.771	2332.0	736.0441	11615.0	2854.2073	6282.0	1126.8711	11271.0	2568.674	10970.0	2522.4893	
235	47132.0	9915.7705	2322.0	733.62274	11799.0	2899.4758	6279.0	1124.4955	11382.0	2593.0537	11086.0	2550.6545	
236	46736.0	9822.262	2317.0	731.9871	11986.0	2948.149	6248.0	1116.1195	11512.0	2619.8389	11201.0	2578.7378	
237	46329.0	9728.203	2293.0	724.69214	12188.0	2999.6382	6229.0	1111.408	11650.0	2649.0845	11311.0	2604.0671	
238	45943.0	9643.23	2257.0	714.87427	12351.0	3039.9934	6222.0	1108.9291	11802.0	2679.9373	11425.0	2630.1157	
239	45560.0	9554.797	2240.0	708.41254	12511.0	3080.8923	6189.0	1100.594	11960.0	2714.1948	11540.0	2658.195	
240	45213.0	9480.11	2209.0	700.3597	12666.0	3118.1836	6167.0	1093.8789	12101.0	2741.6045	11644.0	2682.9417	
241	44854.0	9402.149	2171.0	688.31976	12824.0	3153.0212	6127.0	1086.6014	12256.0	2774.3042	11768.0	2712.6836	
242	44467.0	9324.584	2131.0	677.42914	12974.0	3186.3586	6104.0	1079.5999	12423.0	2806.7927	11901.0	2742.3093	
243	44112.0	9251.784	2088.0	664.46136	13150.0	3226.6047	6070.0	1070.0663	12582.0	2839.2107	11998.0	2764.9443	
244	43777.0	9186.215	2049.0	652.5259	13304.0	3260.796	6022.0	1058.377	12723.0	2866.6147	12125.0	2792.548	
245	43421.0	9113.011	2016.0	642.86224	13457.0	3293.995	5982.0	1047.4296	12869.0	2895.7134	12255.0	2824.07	
246	43091.0	9044.367	1983.0	631.4691	13600.0	3326.6846	5915.0	1030.046	13020.0	2927.7546	12391.0	2856.7712	
247	42760.0	8976.711	1939.0	617.73193	13760.0	3360.1787	5863.0	1016.82275	13167.0	2959.099	12511.0	2886.5442	
248	42424.0	8905.747	1894.0	604.253	13923.0	3395.1143	5803.0	1001.37726	13319.0	2991.3699	12637.0	2919.2197	
249	42074.0	8830.77	1842.0	589.1442	14075.0	3427.617	5759.0	987.7197	13483.0	3025.776	12767.0	2956.059	
250	41741.0	8756.005	1776.0	570.6945	14226.0	3461.7776	5696.0	973.78705	13647.0	3059.67	12914.0	2995.158	
251	41433.0	8687.503	1699.0	548.8001	14372.0	3493.7896	5625.0	958.6256	13813.0	3095.8271	13058.0	3032.546	
252	41108.0	8611.269	1638.0	531.8076	14500.0	3519.923	5557.0	944.82196	13963.0	3129.8767	13234.0	3079.4124	
253	40779.0	8538.275	1571.0	512.876	14659.0	3552.5762	5493.0	931.1904	14127.0	3165.439	13371.0	3116.7537	
254	40438.0	8459.369	1503.0	493.89832	14818.0	3587.7205	5421.0	915.6733	14280.0	3199.7312	13540.0	3160.7136	
255	40101.0	8383.901	1434.0	474.87817	14955.0	3615.5347	5350.0	902.0434	14442.0	3236.5088	13718.0	3204.242	
256	39767.0	8308.333	1365.0	456.20456	15116.0	3647.5842	5266.0	882.8264	14594.0	3270.859	13892.0	3251.3105	
257	39428.0	8234.019	1284.0	432.7525	15258.0	3674.9753	5195.0	868.0466	14771.0	3311.9207	14064.0	3295.4075	
258	39116.0	8164.2305	1205.0	409.53482	15386.0	3701.7468	5125.0	851.4161	14928.0	3348.0852	14240.0	3342.1099	
259	38821.0	8100.9023	1134.0	389.05536	15519.0	3727.7512	5040.0	834.7123	15081.0	3382.9172	14405.0	3381.7869	
260	38537.0	8037.688	1045.0	362.756	15660.0	3756.5994	4939.0	813.9231	15235.0	3419.7354	14584.0	3426.4219	
261	38193.0	7964.2183	966.0	337.62677	15813.0	3787.0283	4840.0	792.5365	15405.0	3461.1238	14783.0	3474.5918	
262	37919.0	7899.466	877.0	309.16696	15950.0	3816.6638	4726.0	771.0426	15578.0	3505.0664	14950.0	3515.7197	
263	37568.0	7819.0835	801.0	284.8981	16108.0	3850.4722	4634.0	752.2004	15744.0	3545.1206	15145.0	3565.3489	
264	37260.0	7748.142	731.0	263.11774	16253.0	3880.6118	4546.0	735.0023	15907.0	3583.581	15303.0	3606.6655	
265	36970.0	7687.5205	654.0	236.94641	16397.0	3908.316	4447.0	713.1483	16055.0	3622.3428	15477.0	3648.8499	
266	36666.0	7620.6973	589.0	214.70378	16537.0	3935.2766	4365.0	696.76074	16204.0	3660.1829	15639.0	3689.5022	
267	36395.0	7561.22	537.0	197.45667	16679.0	3962.0718	4238.0	670.7369	16321.0	3689.4675	15830.0	3736.1711	
268	36123.0	7498.6997	485.0	178.9381	16829.0	3991.3125	4096.0	643.116	16457.0	3724.023	16010.0	3781.0369	
