SIMULATION PARAMETERS:
n = 18
m = 32
p = 6
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	NATION 5 S	NATION 5 R	NATION 5 A_BAR	NATION 5 ACTION	
59	59	21.77843	6.4827585	Contest	59	13.964516	6.5172415	Colonize	59	12.64693	6.4827585	Colonize	59	17.072817	6.4827585	Colonize	59	14.700321	6.5172415	Colonize	59	17.38379	6.4827585	Colonize	
60	60	22.175413	6.4745765	Colonize	60	14.108287	6.5423727	Colonize	60	12.810663	6.5084743	Colonize	60	17.278957	6.440678	Colonize	60	14.831426	6.5084743	Colonize	60	17.574615	6.5084743	Colonize	
61	61	22.555738	6.4666667	Colonize	61	14.411558	6.5666666	Colonize	61	12.94279	6.5333333	Colonize	61	17.422895	6.4666667	Colonize	61	14.924371	6.5333333	Colonize	61	17.745811	6.5333333	Colonize	
62	62	22.895523	6.491803	Colonize	62	14.595204	6.52459	Colonize	62	13.012097	6.557377	Colonize	62	17.589108	6.491803	Colonize	62	15.065663	6.557377	Colonize	62	17.862595	6.557377	Colonize	
63	63	23.17528	6.483871	Colonize	63	14.64795	6.548387	Colonize	63	13.386037	6.548387	Colonize	63	17.710714	6.516129	Colonize	63	15.213705	6.580645	Colonize	63	17.961073	6.580645	Colonize	
64	64	23.441902	6.5079365	Colonize	64	14.764238	6.571429	Colonize	64	13.671301	6.5396824	Colonize	64	17.798126	6.5396824	Contest	64	15.52548	6.571429	Colonize	64	18.041819	6.571429	Colonize	
65	65	23.637012	6.53125	Colonize	65	14.916961	6.59375	Colonize	65	13.892394	6.5625	Colonize	65	18.068897	6.5625	Colonize	65	15.815627	6.5625	Colonize	65	18.107391	6.59375	Colonize	
66	66	23.965126	6.5538464	Colonize	66	15.285062	6.6153846	Colonize	66	14.121693	6.584615	Colonize	66	18.228569	6.523077	Colonize	66	16.067152	6.584615	Colonize	66	18.333887	6.584615	Colonize	
67	67	24.15929	6.5757575	Colonize	67	15.553728	6.5757575	Colonize	67	14.282629	6.5757575	Colonize	67	18.381758	6.5454545	Colonize	67	16.22172	6.6060605	Colonize	67	18.526894	6.5757575	Colonize	
68	68	24.39621	6.567164	Colonize	68	15.71321	6.597015	Colonize	68	14.434541	6.597015	Colonize	68	18.563408	6.567164	Colonize	68	16.390398	6.626866	Colonize	68	18.715681	6.597015	Colonize	
69	69	24.629118	6.5588236	Colonize	69	15.912071	6.617647	Colonize	69	14.566764	6.617647	Colonize	69	18.668352	6.5882354	Contest	69	16.446882	6.617647	Colonize	69	18.84473	6.617647	Colonize	
70	70	24.778082	6.5507245	Colonize	70	16.299435	6.637681	Colonize	70	14.781644	6.637681	Colonize	70	19.015139	6.6086955	Colonize	70	16.505758	6.637681	Colonize	70	18.992695	6.637681	Colonize	
71	71	24.948925	6.571429	Colonize	71	16.578835	6.6	Colonize	71	15.181331	6.6285715	Colonize	71	19.217127	6.571429	Colonize	71	16.598791	6.6571426	Colonize	71	19.183706	6.6571426	Colonize	
72	72	25.114058	6.5915494	Contest	72	16.712069	6.619718	Colonize	72	15.484308	6.619718	Colonize	72	19.406868	6.5633802	Colonize	72	16.722176	6.6760564	Colonize	72	19.288261	6.647887	Colonize	
73	73	25.413046	6.611111	Colonize	73	16.905973	6.638889	Contest	73	15.719229	6.638889	Colonize	73	19.541576	6.611111	Contest	73	16.915058	6.6666665	Colonize	73	19.32867	6.6666665	Colonize	
74	74	25.552921	6.5753427	Colonize	74	17.25494	6.630137	Colonize	74	15.869284	6.657534	Colonize	74	19.746113	6.630137	Colonize	74	17.086931	6.657534	Colonize	74	19.444763	6.657534	Colonize	
75	75	25.62184	6.5945945	Colonize	75	17.400856	6.5945945	Colonize	75	16.047735	6.675676	Colonize	75	19.936672	6.5945945	Colonize	75	17.178276	6.675676	Colonize	75	19.536236	6.6486487	Colonize	
76	76	25.683514	6.613333	Colonize	76	17.53757	6.5866666	Colonize	76	16.17426	6.6666665	Colonize	76	20.12801	6.613333	Colonize	76	17.23296	6.693333	Colonize	76	19.618525	6.6666665	Colonize	
77	77	25.732763	6.631579	Contest	77	17.84153	6.631579	Colonize	77	16.35462	6.6842103	Colonize	77	20.295246	6.5789475	Colonize	77	17.333517	6.6842103	Contest	77	19.666435	6.6842103	Colonize	
78	78	26.14989	6.623377	Colonize	78	18.101513	6.5974026	Colonize	78	16.593906	6.7012987	Colonize	78	20.359211	6.5974026	Colonize	78	17.485949	6.7012987	Colonize	78	19.781527	6.7012987	Colonize	
79	79	26.391577	6.5897436	Colonize	79	18.301607	6.6153846	Colonize	79	16.780516	6.6923075	Contest	79	20.40219	6.6153846	Colonize	79	17.637592	6.6923075	Colonize	79	19.858183	6.717949	Colonize	
80	80	26.53603	6.607595	Colonize	80	18.508469	6.632911	Colonize	80	16.922728	6.708861	Contest	80	20.64902	6.607595	Contest	80	17.788193	6.683544	Colonize	80	19.886051	6.708861	Colonize	
81	81	26.611809	6.625	Colonize	81	18.764366	6.65	Colonize	81	17.023851	6.725	Contest	81	20.845585	6.575	Contest	81	17.885328	6.725	Colonize	81	19.89869	6.725	Colonize	
82	82	26.670107	6.6419754	Contest	82	19.041143	6.6666665	Colonize	82	17.104502	6.740741	Contest	82	21.01381	6.5925927	Contest	82	18.021555	6.716049	Contest	82	20.03955	6.716049	Colonize	
83	83	27.088522	6.634146	Colonize	83	19.236807	6.6829267	Colonize	83	17.398106	6.731707	Contest	83	21.142746	6.609756	Contest	83	18.104498	6.707317	Contest	83	20.160019	6.707317	Colonize	
84	84	27.457409	6.60241	Colonize	84	19.427614	6.674699	Colonize	84	17.62194	6.7228913	Contest	84	21.22834	6.626506	Contest	83	18.104498	6.6987953	Contest	84	20.21159	6.6987953	Colonize	
85	85	27.588322	6.6190476	Colonize	85	19.581558	6.6666665	Contest	85	17.868963	6.7380953	Contest	85	21.389357	6.642857	Contest	83	18.104498	6.6987953	Contest	85	20.29252	6.714286	Colonize	
86	86	27.697275	6.635294	Contest	86	19.759306	6.682353	Colonize	86	18.016691	6.752941	Contest	86	21.507559	6.6588235	Contest	83	18.104498	6.6987953	Contest	86	20.38504	6.7294116	Colonize	
87	87	27.924559	6.6511626	Contest	87	19.868006	6.6511626	Colonize	87	18.138027	6.7674417	Contest	87	21.652134	6.6511626	Contest	83	18.104498	6.6987953	Contest	87	20.423986	6.744186	Colonize	
88	88	28.41971	6.643678	Colonize	88	19.923664	6.6666665	Colonize	88	18.273243	6.781609	Contest	88	21.79667	6.62069	Contest	83	18.104498	6.6987953	Contest	88	20.467974	6.7586207	Colonize	
