SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.1
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
244	215349.0	49489.73	3687.0	727.90186	3438.0	673.8145	4054.0	955.5193	3872.0	896.6435	
245	214975.0	49415.574	3760.0	738.5831	3536.0	697.1319	4161.0	976.5994	3968.0	915.7062	
246	214617.0	49345.406	3839.0	749.8055	3631.0	719.9931	4265.0	996.76416	4048.0	931.63367	
247	214238.0	49271.68	3931.0	764.603	3713.0	738.7796	4368.0	1017.03406	4150.0	951.4679	
248	213849.0	49196.164	4015.0	776.9076	3806.0	760.1845	4476.0	1037.2501	4254.0	973.1077	
249	213479.0	49122.67	4098.0	791.5785	3919.0	786.72046	4557.0	1051.7999	4347.0	990.81757	
250	213085.0	49040.293	4182.0	806.2614	4018.0	811.2225	4655.0	1071.1849	4460.0	1014.5635	
251	212679.0	48952.793	4267.0	822.1367	4120.0	838.3029	4767.0	1092.3547	4567.0	1037.9626	
252	212276.0	48865.383	4358.0	839.3262	4220.0	862.4035	4881.0	1113.4249	4665.0	1062.9507	
253	211874.0	48775.582	4447.0	857.83984	4327.0	888.70056	4981.0	1132.3625	4771.0	1089.0231	
254	211469.0	48689.914	4548.0	877.37537	4441.0	915.2356	5066.0	1147.422	4876.0	1113.5813	
255	211035.0	48598.152	4662.0	901.9735	4543.0	938.3686	5180.0	1166.2477	4980.0	1138.7559	
256	210611.0	48504.453	4774.0	927.17365	4643.0	961.5478	5283.0	1184.5641	5089.0	1165.761	
257	210201.0	48411.86	4871.0	953.2181	4735.0	980.66766	5388.0	1204.2188	5205.0	1193.5867	
258	209772.0	48317.84	4985.0	979.2866	4827.0	1003.0343	5493.0	1221.9182	5323.0	1221.5396	
259	209342.0	48227.637	5092.0	1004.2408	4914.0	1021.1643	5611.0	1241.6815	5441.0	1248.93	
260	208884.0	48124.043	5198.0	1031.702	5016.0	1044.0466	5730.0	1262.8962	5572.0	1280.9342	
261	208476.0	48038.258	5299.0	1055.7778	5107.0	1062.129	5848.0	1283.2543	5670.0	1304.221	
262	208042.0	47949.23	5399.0	1078.4955	5214.0	1084.1282	5968.0	1303.907	5777.0	1327.8743	
263	207652.0	47866.55	5495.0	1102.1704	5311.0	1103.7126	6076.0	1322.9354	5866.0	1348.2708	
264	207237.0	47783.684	5591.0	1125.2122	5425.0	1124.5212	6183.0	1341.9285	5964.0	1368.2898	
265	206815.0	47690.934	5705.0	1154.7393	5518.0	1142.8103	6284.0	1361.6799	6078.0	1393.4985	
266	206380.0	47597.92	5823.0	1183.7715	5620.0	1163.936	6396.0	1384.2117	6181.0	1413.8649	
267	205940.0	47499.56	5932.0	1214.0153	5725.0	1187.2385	6528.0	1411.4529	6275.0	1431.443	
268	205535.0	47408.906	6028.0	1239.477	5823.0	1209.7301	6638.0	1434.6973	6376.0	1450.9148	
269	205109.0	47310.676	6132.0	1267.7408	5929.0	1234.2781	6754.0	1458.8303	6476.0	1472.2367	
270	204635.0	47201.297	6255.0	1298.4128	6037.0	1260.1842	6876.0	1485.1885	6597.0	1498.6809	
271	204161.0	47090.223	6377.0	1331.2451	6152.0	1288.8828	6993.0	1509.3713	6717.0	1524.0101	
272	203634.0	46961.82	6516.0	1369.5582	6285.0	1322.9894	7123.0	1536.5193	6842.0	1552.8151	
273	203071.0	46823.215	6652.0	1408.161	6430.0	1362.4138	7275.0	1568.5715	6972.0	1581.3817	
274	202536.0	46691.46	6787.0	1446.1096	6578.0	1402.8883	7409.0	1597.3198	7090.0	1605.9779	
275	202063.0	46574.293	6900.0	1479.3639	6709.0	1437.7047	7541.0	1624.6328	7187.0	1627.7139	
276	201560.0	46448.99	7032.0	1516.7186	6836.0	1472.3346	7665.0	1650.5682	7307.0	1655.096	
277	201072.0	46324.625	7178.0	1556.9895	6965.0	1509.3777	7780.0	1675.4478	7405.0	1677.2385	
278	200554.0	46191.742	7312.0	1598.6052	7087.0	1543.4303	7905.0	1702.6376	7542.0	1707.3145	
279	200003.0	46045.715	7473.0	1649.4651	7212.0	1579.0936	8039.0	1732.3102	7673.0	1737.0787	
280	199462.0	45906.094	7644.0	1701.6417	7329.0	1610.3936	8165.0	1760.9359	7800.0	1764.5251	
281	198952.0	45768.883	7781.0	1744.4794	7454.0	1643.7513	8308.0	1794.5863	7905.0	1791.9165	
282	198418.0	45623.45	7924.0	1788.3774	7583.0	1678.2637	8434.0	1823.9368	8041.0	1829.5178	
283	197905.0	45491.7	8061.0	1826.3995	7701.0	1707.7643	8565.0	1854.0675	8168.0	1863.624	
284	197350.0	45344.145	8216.0	1872.0487	7830.0	1741.0045	8706.0	1888.5188	8298.0	1897.8331	
285	196832.0	45203.78	8354.0	1915.0446	7950.0	1771.2814	8837.0	1921.2048	8427.0	1932.264	
286	196312.0	45061.152	8498.0	1960.2039	8072.0	1802.9816	8966.0	1950.6912	8552.0	1968.527	
287	195730.0	44906.22	8646.0	2001.0387	8215.0	1840.0963	9103.0	1984.3987	8706.0	2011.7646	
288	195158.0	44750.438	8790.0	2043.6324	8351.0	1874.5627	9235.0	2019.4038	8866.0	2055.4775	
289	194593.0	44593.113	8932.0	2086.1404	8492.0	1912.2324	9384.0	2057.7263	8999.0	2094.2966	
290	194040.0	44442.523	9076.0	2129.4453	8625.0	1946.1005	9512.0	2088.559	9147.0	2136.8804	
291	193403.0	44261.418	9225.0	2174.985	8789.0	1988.916	9656.0	2128.2395	9327.0	2189.8875	
292	192838.0	44106.88	9383.0	2219.7627	8910.0	2021.1202	9793.0	2164.8284	9476.0	2230.833	
293	192270.0	43951.37	9524.0	2259.9783	9033.0	2052.7483	9930.0	2201.855	9643.0	2277.4985	
294	191680.0	43789.453	9670.0	2300.1807	9168.0	2087.3616	10075.0	2242.5942	9807.0	2323.8862	
295	191088.0	43631.68	9818.0	2341.1824	9324.0	2127.6824	10208.0	2275.783	9962.0	2367.1807	
296	190538.0	43485.957	9950.0	2376.5159	9471.0	2163.8635	10355.0	2315.3662	10086.0	2401.7236	
297	189976.0	43336.62	10087.0	2414.3904	9602.0	2197.383	10498.0	2352.0334	10237.0	2442.9897	
298	189396.0	43185.324	10240.0	2453.5044	9743.0	2232.0176	10646.0	2393.3926	10375.0	2479.1733	
299	188782.0	43026.906	10388.0	2490.517	9903.0	2272.1904	10809.0	2436.8513	10518.0	2517.001	
300	188132.0	42862.51	10554.0	2531.54	10055.0	2308.447	10967.0	2481.3667	10692.0	2559.6294	
301	187503.0	42702.562	10726.0	2575.4177	10202.0	2342.1887	11149.0	2533.2144	10820.0	2590.0806	
