SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 10
recruit_likeliness = 0.5
defeat_likeliness = 0.01
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	
118	141791.0	32145.621	6494.0	1423.3612	10219.0	2237.8982	7407.0	2003.7855	11846.0	3106.612	8091.0	1814.519	3920.0	933.0642	12517.0	2929.2175	6296.0	1144.0736	12301.0	2825.5469	9518.0	2184.517	
119	139350.0	31573.785	6593.0	1444.051	10526.0	2310.445	7586.0	2041.8069	12211.0	3198.1138	8288.0	1857.6154	3978.0	954.13544	12980.0	3023.4778	6435.0	1171.3938	12736.0	2939.5977	9717.0	2233.857	
120	136964.0	31019.049	6692.0	1463.963	10787.0	2370.9177	7758.0	2077.3845	12568.0	3283.124	8473.0	1898.3115	4030.0	972.79846	13424.0	3115.764	6574.0	1200.2101	13209.0	3064.1274	9921.0	2282.6062	
121	134578.0	30462.084	6787.0	1482.7742	11027.0	2426.2295	7931.0	2113.2976	12910.0	3367.8025	8660.0	1939.7013	4084.0	991.3147	13910.0	3217.7913	6730.0	1234.0194	13668.0	3180.511	10115.0	2332.7473	
122	132254.0	29919.016	6861.0	1498.5607	11259.0	2481.0508	8096.0	2149.4387	13272.0	3452.762	8832.0	1977.1931	4136.0	1007.3238	14366.0	3311.112	6870.0	1266.5941	14142.0	3304.3784	10312.0	2380.8118	
123	129848.0	29356.902	6938.0	1515.2003	11495.0	2539.146	8272.0	2184.386	13662.0	3542.6475	9014.0	2018.2789	4187.0	1022.9751	14842.0	3410.6436	7038.0	1306.576	14585.0	3421.5645	10519.0	2429.873	
124	127471.0	28811.367	7032.0	1534.496	11709.0	2594.7761	8445.0	2220.6304	14050.0	3628.8745	9196.0	2059.3616	4231.0	1035.0399	15288.0	3503.2073	7196.0	1345.8156	15045.0	3535.841	10737.0	2478.7676	
125	125022.0	28246.344	7115.0	1551.2463	11924.0	2650.417	8607.0	2251.6182	14436.0	3714.0037	9395.0	2104.1968	4286.0	1048.6815	15789.0	3611.653	7349.0	1384.2097	15520.0	3655.3333	10957.0	2530.4055	
126	122602.0	27686.107	7197.0	1567.3456	12128.0	2700.6416	8778.0	2285.6497	14808.0	3794.4673	9582.0	2148.6707	4343.0	1061.7311	16275.0	3720.8853	7513.0	1424.0841	16027.0	3781.3655	11147.0	2577.1274	
127	120154.0	27122.6	7285.0	1584.3856	12344.0	2753.0576	8943.0	2319.3672	15178.0	3874.3594	9770.0	2194.437	4394.0	1073.1163	16791.0	3837.0286	7674.0	1464.5752	16521.0	3901.63	11346.0	2623.48	
128	117700.0	26557.621	7373.0	1601.2863	12533.0	2797.2517	9097.0	2352.4834	15549.0	3952.6658	9963.0	2243.6174	4457.0	1086.0143	17306.0	3957.8025	7856.0	1510.2587	17012.0	4015.4592	11554.0	2673.5857	
129	115238.0	25995.166	7448.0	1615.3224	12742.0	2846.3755	9258.0	2386.4043	15941.0	4036.6953	10146.0	2288.9204	4506.0	1096.3412	17832.0	4086.1836	8013.0	1546.9141	17528.0	4134.1934	11748.0	2715.5374	
130	112696.0	25418.346	7520.0	1628.467	12973.0	2896.851	9428.0	2423.7659	16334.0	4121.3145	10329.0	2333.2524	4560.0	1108.3893	18373.0	4220.9014	8191.0	1587.6532	18059.0	4253.1206	11937.0	2755.983	
131	110107.0	24816.89	7594.0	1642.1575	13166.0	2940.4524	9611.0	2465.934	16766.0	4216.4844	10523.0	2384.0247	4620.0	1121.0457	18896.0	4354.6523	8374.0	1628.8931	18602.0	4377.9854	12141.0	2799.551	
132	107527.0	24215.379	7670.0	1656.058	13363.0	2985.3481	9791.0	2510.07	17187.0	4315.3374	10714.0	2433.781	4667.0	1131.983	19443.0	4485.998	8557.0	1670.6493	19139.0	4499.495	12342.0	2843.9963	
133	104952.0	23624.967	7727.0	1666.0881	13595.0	3036.4358	9951.0	2547.3083	17576.0	4407.839	10890.0	2480.9219	4726.0	1144.4109	20007.0	4619.5537	8729.0	1708.6482	19710.0	4624.558	12537.0	2887.4106	
134	102366.0	23038.713	7812.0	1681.269	13796.0	3081.1704	10112.0	2583.103	17982.0	4497.578	11056.0	2525.0398	4779.0	1154.7905	20568.0	4751.1743	8906.0	1747.023	20269.0	4750.847	12754.0	2937.4683	
135	99771.0	22444.568	7886.0	1695.3031	14015.0	3132.4165	10279.0	2621.1333	18412.0	4595.2188	11241.0	2575.012	4835.0	1166.3241	21117.0	4878.0366	9060.0	1779.2153	20827.0	4877.842	12957.0	2983.0715	
136	97284.0	21887.8	7956.0	1709.6515	14228.0	3180.7522	10391.0	2643.1938	18821.0	4683.6665	11422.0	2624.3552	4871.0	1173.5187	21663.0	5001.6587	9229.0	1811.857	21381.0	5003.908	13154.0	3027.816	
137	94803.0	21336.918	8029.0	1726.1931	14432.0	3226.848	10490.0	2661.3816	19238.0	4772.9106	11600.0	2671.1997	4885.0	1176.197	22238.0	5129.038	9398.0	1844.9265	21940.0	5132.1714	13347.0	3070.448	
138	92417.0	20813.574	8089.0	1741.4597	14621.0	3269.8743	10569.0	2676.1028	19651.0	4860.706	11782.0	2719.5667	4896.0	1178.519	22784.0	5247.5557	9560.0	1875.6191	22499.0	5255.7983	13532.0	3109.418	
139	89890.0	20255.592	8162.0	1760.0507	14834.0	3319.9565	10642.0	2687.9343	20100.0	4954.199	11954.0	2766.7312	4906.0	1180.5063	23387.0	5372.6562	9730.0	1909.2426	23063.0	5389.199	13732.0	3152.1936	
140	87507.0	19737.633	8229.0	1778.2351	15027.0	3366.0613	10712.0	2701.2017	20533.0	5040.3936	12120.0	2812.168	4907.0	1180.5059	23943.0	5489.3633	9899.0	1941.1677	23579.0	5505.327	13944.0	3196.2056	
141	85121.0	19223.91	8283.0	1794.0948	15234.0	3416.4685	10794.0	2714.5464	20966.0	5133.778	12289.0	2858.867	4908.0	1180.6868	24496.0	5601.2847	10064.0	1970.9755	24129.0	5625.23	14116.0	3228.4456	
142	82776.0	18709.43	8347.0	1815.6643	15455.0	3471.5764	10877.0	2728.313	21405.0	5227.203	12462.0	2907.9116	4908.0	1180.6868	25054.0	5712.492	10218.0	1999.2277	24628.0	5740.4214	14270.0	3255.3376	
143	80452.0	18212.068	8405.0	1833.3625	15644.0	3519.33	10951.0	2739.6294	21869.0	5323.1724	12629.0	2952.6348	4909.0	1180.8553	25617.0	5826.148	10376.0	2026.7466	25144.0	5857.5083	14404.0	3276.7642	
144	78130.0	17715.58	8455.0	1847.9762	15862.0	3576.8313	11023.0	2750.8518	22297.0	5411.766	12786.0	2997.951	4908.0	1180.7452	26188.0	5939.7896	10534.0	2053.0762	25671.0	5974.422	14546.0	3299.2913	
145	75818.0	17211.912	8511.0	1865.4618	16061.0	3626.9304	11082.0	2759.407	22757.0	5508.4688	12960.0	3050.6624	4908.0	1180.7452	26745.0	6049.5835	10695.0	2083.146	26195.0	6094.283	14668.0	3317.6953	
146	73565.0	16708.11	8561.0	1882.3585	16263.0	3678.9592	11141.0	2768.224	23185.0	5604.0967	13129.0	3100.4482	4907.0	1180.4884	27310.0	6163.444	10844.0	2111.8752	26697.0	6213.518	14798.0	3336.7834	
147	71308.0	16202.481	8615.0	1898.4403	16467.0	3733.0042	11196.0	2778.248	23608.0	5697.337	13297.0	3152.3774	4906.0	1180.035	27893.0	6280.115	10982.0	2137.9543	27197.0	6329.8696	14931.0	3358.4534	
148	69099.0	15701.798	8675.0	1917.1676	16664.0	3784.762	11255.0	2789.6821	24045.0	5792.102	13468.0	3204.9155	4905.0	1179.8446	28468.0	6396.991	11119.0	2164.213	27657.0	6438.077	15045.0	3378.7441	
149	66985.0	15204.223	8731.0	1934.3082	16843.0	3833.1282	11323.0	2805.1943	24431.0	5873.235	13627.0	3256.2493	4905.0	1179.8446	29003.0	6512.4395	11242.0	2189.4	28160.0	6559.882	15150.0	3400.3975	
150	64949.0	14726.3	8782.0	1950.4205	16966.0	3867.8977	11387.0	2821.4702	24794.0	5947.4214	13775.0	3305.0205	4905.0	1179.8446	29566.0	6636.2896	11361.0	2213.6719	28658.0	6677.9424	15257.0	3422.0393	
151	62979.0	14262.12	8843.0	1969.7941	17105.0	3908.9006	11449.0	2836.868	25116.0	6009.26	13934.0	3353.07	4902.0	1178.8544	30133.0	6759.3916	11447.0	2231.4565	29136.0	6796.007	15356.0	3442.5925	
152	61066.0	13822.334	8898.0	1987.5736	17208.0	3938.9504	11501.0	2851.4226	25441.0	6073.91	14089.0	3396.7493	4901.0	1178.7324	30707.0	6881.204	11526.0	2246.1802	29614.0	6908.976	15449.0	3462.2754	
153	59208.0	13382.12	8950.0	2003.2128	17317.0	3974.124	11552.0	2866.6775	25763.0	6138.171	14240.0	3437.2334	4899.0	1178.1208	31233.0	7001.273	11605.0	2262.488	30095.0	7024.6064	15538.0	3480.2834	
154	57364.0	12948.53	9005.0	2019.1615	17417.0	4005.275	11615.0	2886.182	26059.0	6197.4473	14401.0	3482.1565	4899.0	1178.1208	31765.0	7120.4927	11672.0	2275.4119	30569.0	7134.0566	15634.0	3501.465	
155	55549.0	12517.541	9063.0	2035.3856	17505.0	4031.4082	11659.0	2900.1582	26338.0	6254.5874	14572.0	3529.6504	4900.0	1178.2786	32297.0	7239.5723	11742.0	2293.2598	31059.0	7249.057	15716.0	3519.4187	
156	53775.0	12103.278	9107.0	2046.2218	17588.0	4056.7168	11710.0	2914.7976	26608.0	6309.457	14732.0	3569.2698	4898.0	1177.9058	32843.0	7362.117	11815.0	2311.202	31548.0	7365.0845	15776.0	3532.2605	
157	52052.0	11705.523	9143.0	2054.2656	17673.0	4082.5615	11751.0	2926.0393	26842.0	6356.663	14889.0	3610.4958	4896.0	1177.468	33395.0	7477.7246	11882.0	2329.2097	32029.0	7482.084	15848.0	3546.267	
158	50330.0	11313.876	9171.0	2060.1384	17766.0	4111.062	11799.0	2937.4954	27078.0	6405.5786	15038.0	3646.8418	4896.0	1177.468	33958.0	7594.419	11937.0	2343.8704	32517.0	7599.952	15910.0	3557.5916	
159	48670.0	10938.442	9188.0	2063.8235	17848.0	4135.154	11846.0	2947.2332	27315.0	6453.108	15192.0	3681.7314	4896.0	1177.468	34493.0	7710.7915	11984.0	2356.2454	32987.0	7713.526	15981.0	3570.7432	
160	47012.0	10561.219	9209.0	2070.0522	17919.0	4157.0264	11891.0	2956.3923	27526.0	6498.136	15352.0	3719.2893	4895.0	1177.1792	35036.0	7827.674	12040.0	2369.1013	33477.0	7831.1147	16043.0	3581.0952	
161	45407.0	10212.201	9218.0	2072.9797	17995.0	4180.1396	11928.0	2963.6028	27724.0	6541.277	15494.0	3748.7336	4895.0	1177.1792	35584.0	7935.2505	12096.0	2381.6807	33952.0	7943.232	16107.0	3592.0173	
162	43794.0	9863.974	9235.0	2078.6262	18072.0	4202.2964	11972.0	2971.5344	27932.0	6585.6206	15654.0	3781.6028	4895.0	1177.1792	36105.0	8037.8877	12153.0	2394.9028	34422.0	8051.8457	16166.0	3602.8333	
163	42273.0	9540.582	9246.0	2083.0464	18140.0	4220.9077	12004.0	2976.9324	28120.0	6624.3394	15809.0	3812.8948	4894.0	1176.9031	36619.0	8139.8413	12199.0	2405.9329	34875.0	8153.7964	16221.0	3613.1135	
164	40726.0	9218.712	9246.0	2084.287	18215.0	4240.886	12047.0	2984.6091	28314.0	6665.214	15957.0	3841.1938	4893.0	1176.7505	37130.0	8235.033	12250.0	2417.4385	35348.0	8259.943	16274.0	3624.2244	
165	39221.0	8911.217	9248.0	2084.836	18290.0	4260.664	12088.0	2991.4036	28485.0	6700.223	16110.0	3869.697	4893.0	1176.7505	37602.0	8325.5625	12297.0	2427.9841	35848.0	8367.014	16318.0	3632.9421	
