SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.1
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
349	183229.0	41767.18	11611.0	2791.4001	10929.0	2509.439	12000.0	2678.371	12631.0	2996.9832	
350	182533.0	41601.695	11804.0	2842.4463	11080.0	2546.426	12183.0	2723.3157	12800.0	3029.517	
351	181877.0	41450.633	11981.0	2884.792	11253.0	2585.4023	12335.0	2763.8745	12954.0	3058.717	
352	181240.0	41306.156	12131.0	2918.2446	11398.0	2620.7742	12510.0	2807.351	13121.0	3090.8564	
353	180547.0	41152.547	12307.0	2958.3875	11568.0	2658.8367	12680.0	2849.3708	13298.0	3124.221	
354	179916.0	41012.715	12461.0	2992.1047	11714.0	2692.317	12845.0	2892.2104	13464.0	3154.0193	
355	179259.0	40867.707	12612.0	3023.1077	11887.0	2732.4382	13000.0	2933.9697	13642.0	3186.11	
356	178565.0	40709.594	12798.0	3062.7302	12082.0	2779.6245	13143.0	2973.7417	13812.0	3217.6829	
357	177860.0	40558.363	12966.0	3093.5706	12266.0	2821.9587	13299.0	3013.0725	14009.0	3256.402	
358	177176.0	40405.684	13129.0	3126.9072	12429.0	2860.376	13488.0	3062.1323	14178.0	3288.2969	
359	176493.0	40255.973	13306.0	3160.3945	12600.0	2897.345	13657.0	3107.4045	14344.0	3322.2869	
360	175802.0	40110.625	13473.0	3189.556	12769.0	2935.1108	13837.0	3152.5625	14519.0	3355.5388	
361	175135.0	39965.453	13642.0	3220.7483	12931.0	2972.1497	14004.0	3194.8298	14688.0	3390.2002	
362	174451.0	39817.758	13804.0	3252.138	13103.0	3011.4382	14167.0	3232.8171	14875.0	3429.2488	
363	173770.0	39666.977	13962.0	3284.7468	13273.0	3049.202	14353.0	3280.0718	15042.0	3462.4065	
364	173076.0	39508.37	14114.0	3317.661	13450.0	3089.833	14534.0	3326.3787	15226.0	3501.15	
365	172368.0	39352.438	14281.0	3352.5017	13634.0	3133.0315	14701.0	3364.576	15416.0	3540.8315	
366	171656.0	39189.094	14452.0	3390.141	13817.0	3176.3381	14873.0	3407.1128	15602.0	3580.7224	
367	170941.0	39027.93	14645.0	3430.7217	14008.0	3221.8083	15033.0	3446.7874	15773.0	3616.1892	
368	170233.0	38866.723	14828.0	3468.081	14175.0	3262.3645	15234.0	3495.4858	15930.0	3650.7925	
369	169490.0	38700.066	15036.0	3509.925	14363.0	3309.0432	15398.0	3533.2131	16113.0	3691.2422	
370	168709.0	38519.926	15233.0	3547.8286	14560.0	3359.9424	15566.0	3576.7634	16332.0	3739.0867	
371	167941.0	38347.87	15415.0	3581.5808	14754.0	3408.5693	15780.0	3630.8816	16510.0	3774.6575	
372	167152.0	38172.754	15589.0	3612.7173	14960.0	3458.5056	15989.0	3683.644	16710.0	3815.9253	
373	166413.0	37998.62	15759.0	3644.8135	15159.0	3510.2778	16191.0	3738.5767	16878.0	3851.2092	
374	165670.0	37834.875	15963.0	3681.649	15356.0	3558.8015	16370.0	3783.695	17041.0	3884.5325	
375	164897.0	37659.445	16141.0	3715.8735	15575.0	3616.3333	16556.0	3830.2046	17231.0	3921.722	
376	164143.0	37491.336	16323.0	3747.7747	15788.0	3674.1006	16743.0	3874.2847	17403.0	3956.0486	
377	163326.0	37304.184	16527.0	3783.1794	16006.0	3734.6238	16953.0	3929.0996	17588.0	3992.528	
378	162578.0	37128.54	16718.0	3818.7861	16195.0	3787.6914	17144.0	3981.6072	17765.0	4026.974	
379	161815.0	36949.16	16880.0	3847.4275	16379.0	3836.8152	17363.0	4044.17	17963.0	4066.056	
